Em_eV,thetas_rad
5.000000000000000000e+01,1.460975723903677137e+00
6.000000000000000000e+01,1.470667655571110011e+00
7.000000000000000000e+01,1.478176678506749830e+00
8.000000000000000000e+01,1.484215700851793773e+00
9.000000000000000000e+01,1.489209191011986011e+00
1.000000000000000000e+02,1.493427728683848654e+00
1.100000000000000000e+02,1.497053025430496787e+00
1.200000000000000000e+02,1.500212241618745335e+00
1.300000000000000000e+02,1.502997383377660867e+00
1.400000000000000000e+02,1.505476885566182865e+00
1.500000000000000000e+02,1.507702847639308397e+00
1.600000000000000000e+02,1.509715727630808413e+00
1.700000000000000000e+02,1.511547486320893530e+00
1.800000000000000000e+02,1.513223752151083179e+00
1.900000000000000000e+02,1.514765348047708571e+00
2.000000000000000000e+02,1.516189391136796960e+00
2.100000000000000000e+02,1.517510099729310724e+00
2.200000000000000000e+02,1.518739395421101257e+00
2.300000000000000000e+02,1.519887359075277944e+00
2.400000000000000000e+02,1.520962580825957478e+00
2.500000000000000000e+02,1.521972432034575995e+00
2.600000000000000000e+02,1.522923278966712424e+00
2.700000000000000000e+02,1.523820652396519204e+00
2.800000000000000000e+02,1.524669383493973296e+00
2.900000000000000000e+02,1.525473713640634443e+00
3.000000000000000000e+02,1.526237383886484222e+00
3.100000000000000000e+02,1.526963708363116234e+00
3.200000000000000000e+02,1.527655634946645247e+00
3.300000000000000000e+02,1.528315795707279712e+00
3.400000000000000000e+02,1.528946549117477183e+00
3.500000000000000000e+02,1.529550015563996945e+00
3.600000000000000000e+02,1.530128107384039593e+00
3.700000000000000000e+02,1.530682554396240125e+00
3.800000000000000000e+02,1.531214925703938246e+00
3.900000000000000000e+02,1.531726648397321977e+00
4.000000000000000000e+02,1.532219023662564128e+00
4.100000000000000000e+02,1.532693240712486249e+00
4.200000000000000000e+02,1.533150388878441461e+00
4.300000000000000000e+02,1.533591468143644221e+00
4.400000000000000000e+02,1.534017398349885486e+00
4.500000000000000000e+02,1.534429027270611812e+00
4.600000000000000000e+02,1.534827137711897826e+00
4.700000000000000000e+02,1.535212453776459762e+00
4.800000000000000000e+02,1.535585646405066118e+00
4.900000000000000000e+02,1.535947338291635766e+00
5.000000000000000000e+02,1.536298108254211314e+00
5.100000000000000000e+02,1.536638495131379401e+00
5.200000000000000000e+02,1.536969001264083978e+00
5.300000000000000000e+02,1.537290095613652152e+00
5.400000000000000000e+02,1.537602216560543855e+00
5.500000000000000000e+02,1.537905774421368665e+00
5.600000000000000000e+02,1.538201153717314140e+00
5.700000000000000000e+02,1.538488715222370518e+00
5.800000000000000000e+02,1.538768797816300715e+00
5.900000000000000000e+02,1.539041720163820681e+00
6.000000000000000000e+02,1.539307782239071276e+00
6.100000000000000000e+02,1.539567266711872051e+00
6.200000000000000000e+02,1.539820440210330821e+00
6.300000000000000000e+02,1.540067554472686062e+00
6.400000000000000000e+02,1.540308847399621150e+00
6.500000000000000000e+02,1.540544544017072859e+00
6.600000000000000000e+02,1.540774857358500949e+00
6.700000000000000000e+02,1.540999989274201898e+00
6.800000000000000000e+02,1.541220131175037977e+00
6.900000000000000000e+02,1.541435464716448545e+00
7.000000000000000000e+02,1.541646162428577771e+00
7.100000000000000000e+02,1.541852388297278331e+00
7.200000000000000000e+02,1.542054298300574278e+00
7.300000000000000000e+02,1.542252040904521726e+00
7.400000000000000000e+02,1.542445757522033389e+00
7.500000000000000000e+02,1.542635582937928573e+00
7.600000000000000000e+02,1.542821645703087441e+00
7.700000000000000000e+02,1.543004068500303916e+00
7.800000000000000000e+02,1.543182968484241080e+00
7.900000000000000000e+02,1.543358457597682198e+00
8.000000000000000000e+02,1.543530642865866165e+00
8.100000000000000000e+02,1.543699626670776981e+00
8.200000000000000000e+02,1.543865507007037063e+00
8.300000000000000000e+02,1.544028377720608081e+00
8.400000000000000000e+02,1.544188328732031934e+00
8.500000000000000000e+02,1.544345446244935083e+00
8.600000000000000000e+02,1.544499812941369843e+00
8.700000000000000000e+02,1.544651508164525788e+00
8.800000000000000000e+02,1.544800608090241223e+00
8.900000000000000000e+02,1.544947185887614483e+00
9.000000000000000000e+02,1.545091311869950523e+00
9.100000000000000000e+02,1.545233053636506426e+00
9.200000000000000000e+02,1.545372476205651324e+00
9.300000000000000000e+02,1.545509642140258322e+00
9.400000000000000000e+02,1.545644611665620172e+00
9.500000000000000000e+02,1.545777442780561728e+00
9.600000000000000000e+02,1.545908191362178830e+00
9.700000000000000000e+02,1.546036911264593083e+00
9.800000000000000000e+02,1.546163654412134658e+00
9.900000000000000000e+02,1.546288470887394073e+00
1.000000000000000000e+03,1.546411409014350369e+00
1.010000000000000000e+03,1.546532515436908062e+00
1.020000000000000000e+03,1.546651835193410651e+00
1.030000000000000000e+03,1.546769411786848902e+00
1.040000000000000000e+03,1.546885287251616781e+00
1.050000000000000000e+03,1.546999502216580114e+00
1.060000000000000000e+03,1.547112095964979339e+00
1.070000000000000000e+03,1.547223106491136368e+00
1.080000000000000000e+03,1.547332570554372344e+00
1.090000000000000000e+03,1.547440523730128081e+00
1.100000000000000000e+03,1.547547000458527222e+00
1.110000000000000000e+03,1.547652034090577722e+00
1.120000000000000000e+03,1.547755656931998125e+00
1.130000000000000000e+03,1.547857900285018129e+00
