Em_eV,thetas_rad
5.000000000000000000e+01,1.372642743411349286e+00
6.000000000000000000e+01,1.390363383140248210e+00
7.000000000000000000e+01,1.404047462471490704e+00
8.000000000000000000e+01,1.415026326700915993e+00
9.000000000000000000e+01,1.424087931698601928e+00
1.000000000000000000e+02,1.431732325014511087e+00
1.100000000000000000e+02,1.438294157953334373e+00
1.200000000000000000e+02,1.444006968418327652e+00
1.300000000000000000e+02,1.449039348278268413e+00
1.400000000000000000e+02,1.453516460294355994e+00
1.500000000000000000e+02,1.457533438213072685e+00
1.600000000000000000e+02,1.461164056939658451e+00
1.700000000000000000e+02,1.464466527171357502e+00
1.800000000000000000e+02,1.467487477623867331e+00
1.900000000000000000e+02,1.470264758815559292e+00
2.000000000000000000e+02,1.472829459543783415e+00
2.100000000000000000e+02,1.475207384658509424e+00
2.200000000000000000e+02,1.477420156349450897e+00
2.300000000000000000e+02,1.479486047291958872e+00
2.400000000000000000e+02,1.481420619543416528e+00
2.500000000000000000e+02,1.483237220540914114e+00
2.600000000000000000e+02,1.484947372498908180e+00
2.700000000000000000e+02,1.486561081266182249e+00
2.800000000000000000e+02,1.488087083616904005e+00
2.900000000000000000e+02,1.489533046972763231e+00
3.000000000000000000e+02,1.490905732005243456e+00
3.100000000000000000e+02,1.492211126005257293e+00
3.200000000000000000e+02,1.493454553034728738e+00
3.300000000000000000e+02,1.494640765490671264e+00
3.400000000000000000e+02,1.495774020678309224e+00
3.500000000000000000e+02,1.496858145210125501e+00
3.600000000000000000e+02,1.497896589454008609e+00
3.700000000000000000e+02,1.498892473798104863e+00
3.800000000000000000e+02,1.499848628147257612e+00
3.900000000000000000e+02,1.500767625791004534e+00
4.000000000000000000e+02,1.501651812567079247e+00
4.100000000000000000e+02,1.502503332073784836e+00
4.200000000000000000e+02,1.503324147548596113e+00
4.300000000000000000e+02,1.504116060921840692e+00
4.400000000000000000e+02,1.504880729466520961e+00
4.500000000000000000e+02,1.505619680394769677e+00
4.600000000000000000e+02,1.506334323693613531e+00
4.700000000000000000e+02,1.507025963445642436e+00
4.800000000000000000e+02,1.507695807841554991e+00
4.900000000000000000e+02,1.508344978059491526e+00
5.000000000000000000e+02,1.508974516159704571e+00
5.100000000000000000e+02,1.509585392121064018e+00
5.200000000000000000e+02,1.510178510127496487e+00
5.300000000000000000e+02,1.510754714197058979e+00
5.400000000000000000e+02,1.511314793233375919e+00
5.500000000000000000e+02,1.511859485568197270e+00
5.600000000000000000e+02,1.512389483054597417e+00
5.700000000000000000e+02,1.512905434762396251e+00
5.800000000000000000e+02,1.513407950320690087e+00
5.900000000000000000e+02,1.513897602946676191e+00
6.000000000000000000e+02,1.514374932194944012e+00
6.100000000000000000e+02,1.514840446457251133e+00
6.200000000000000000e+02,1.515294625239054449e+00
6.300000000000000000e+02,1.515737921236083974e+00
6.400000000000000000e+02,1.516170762231281444e+00
6.500000000000000000e+02,1.516593552830241887e+00
6.600000000000000000e+02,1.517006676051166458e+00
6.700000000000000000e+02,1.517410494783496100e+00
6.800000000000000000e+02,1.517805353127862578e+00
6.900000000000000000e+02,1.518191577628601241e+00
7.000000000000000000e+02,1.518569478408892559e+00
7.100000000000000000e+02,1.518939350217437756e+00
7.200000000000000000e+02,1.519301473394752300e+00
7.300000000000000000e+02,1.519656114766256616e+00
7.400000000000000000e+02,1.520003528468587550e+00
7.500000000000000000e+02,1.520343956715040301e+00
7.600000000000000000e+02,1.520677630505295364e+00
7.700000000000000000e+02,1.521004770284175578e+00
